File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;File Lines;Learning;NbOthors
tensorflow\python\saved_model\signature_def_utils_impl.py;Patrick Nguyen        ;135;39.823008849557525;David Soergel         ;119;35.10324483775811;A. Unique TensorFlower;81;23.893805309734514;Anna R                ;7;2.0648967551622417;339;false;4
tensorflow\python\saved_model\simple_save.py;A. Unique TensorFlower;76;88.37209302325581;Sukriti Ramesh        ;3;3.488372093023256;Anna R                ;3;3.488372093023256;Yifei Feng            ;7;8.13953488372093;86;false;4
tensorflow\python\saved_model\tag_constants.py;Sukriti Ramesh        ;26;52;Patrick Nguyen        ;10;20;Anna R                ;8;16;A. Unique TensorFlower;9;18;50;false;4
tensorflow\python\tools\strip_unused.py;A. Unique TensorFlower;2;1.8691588785046729;Pete Warden           ;55;51.401869158878505;Vijay Vasudevan       ;49;45.794392523364486;Justine Tunney        ;4;3.7383177570093458;107;false;4
tensorflow\python\training\checkpoint_utils.py;A. Unique TensorFlower;323;95.56213017751479;Mustafa Ispir         ;4;1.183431952662722;Anna R                ;6;1.7751479289940828;Dan Ringwalt          ;8;2.366863905325444;338;false;4
tensorflow\python\training\evaluation.py;Jianwei Xie           ;201;93.05555555555556;Urs Köster            ;8;3.7037037037037037;A. Unique TensorFlower;8;3.7037037037037037;Jonathan Hseu         ;2;0.9259259259259259;216;false;4
tensorflow\python\training\proximal_gradient_descent.py;A. Unique TensorFlower;93;88.57142857142857;Anna R                ;3;2.857142857142857;Alexandre Passos      ;3;2.857142857142857;Frank Li              ;9;8.571428571428571;105;false;4
tensorflow\python\training\queue_runner.py;A. Unique TensorFlower;1;2.9411764705882355;Manjunath Kudlur      ;16;47.05882352941177;Vijay Vasudevan       ;5;14.705882352941176;Patrick Nguyen        ;15;44.11764705882353;34;false;4
tensorflow\python\user_ops\user_ops.py;A. Unique TensorFlower;1;3.3333333333333335;Manjunath Kudlur      ;21;70;Vijay Vasudevan       ;5;16.666666666666668;Martin Wicke          ;6;20;30;false;4
tensorflow\python\util\tf_inspect.py;Charles Nicholson;140;80.45977011494253;Dandelion Man?   ;21;12.068965517241379;Shanqing Cai     ;5;2.8735632183908044;Anna R           ;11;6.32183908045977;174;false;4
